"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"main_menu_play","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY",
"character_menu_header","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character","Default Character",
"main_menu_character","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER",
"copyright_disclamer","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.","Copyright © 2018 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.",
"main_menu_configure","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE","CONFIGURE",
"main_menu_restart","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART","RESTART",
"main_menu_exit","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT","EXIT",
"main_menu_respawn","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN","RESPAWN",
"main_menu_respawn_question","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.","Are you sure you would like to respawn? This will kill your current character.",
"main_menu_version","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:","Version:",
